Age,Occupation,Risk Tolerance,Investment Goals,Income Level,Account Balance,Deposits,Withdrawals,Transfers,International Transfers,Investments,Loan Amount,Employment Status,Loan Term (Months),Loan Status,Net Savings,Loan to Income Ratio,Investment Ratio
40,Lawyer,High,Wealth preservation,46044.94,44653.26,9156.01,9327.7,3647.92,82.8,8729.3,27010.93,Retired,36,pending,-171.69,0.604890328,0.195486388
30,Teacher,Low,Wealth preservation,57169.5,29175.47,5933.22,8671.6,6729.86,819.69,4545.18,31266.97,Retired,36,approved,-2738.38,1.071650203,0.155782382
37,Teacher,Low,Speculation,71760.86,86141.59,22583.11,16468.58,6032.53,1526.33,8251.45,41260.58,Employed,12,pending,6114.53,0.478980026,0.095788274
27,Student,Medium,Speculation,70883.01,1000,299.47,289.09,109.83,3.51,195.73,5000,Retired,60,approved,10.38,4.995004995,0.195534466
36,Engineer,Low,Income generation,106777.95,77918.97,13853.25,22699.32,12189.32,2152.51,9725.21,50000,Employed,24,approved,-8846.07,0.641684025,0.124810238
77,Doctor,Low,Income generation,59157.22,61520.73,22052.86,16970.19,10103.04,1184.45,4842.19,50000,Retired,24,pending,5082.67,0.812720969,0.078706987
70,Student,High,Speculation,120054.43,100000,23213.91,27510.89,11522.77,956.09,20114.44,50000,Employed,24,approved,-4296.98,0.499995,0.201142389
45,Retiree,Low,Income generation,65951.25,44295.27,14801.56,2304.52,8689.94,932.66,3314.1,34650.35,Self-employed,48,pending,12497.04,0.782240807,0.074816683
56,Retiree,Medium,Income generation,9928.91,19782.88,6407.61,4823.8,1195.18,165.64,2061.49,8652.23,Employed,48,pending,1583.81,0.437337368,0.104200491
61,Retiree,Low,Wealth preservation,93274.16,48927.6,22156.23,10019.27,11578.01,1080.14,5556.28,17751.38,Employed,12,pending,12136.96,0.362801715,0.113558941
75,Artist,Low,Speculation,48777.9,96838.44,13572.36,14010.24,12001.37,843.58,6990.32,18660.22,Employed,48,pending,-437.88,0.192692358,0.072184639
55,Retiree,Medium,Income generation,79685.22,100000,26927.25,29938.09,8591.9,525.49,6106.05,50000,Unemployed,36,pending,-3010.84,0.499995,0.061059889
